month,age_group,card_tpbuz_nm_2,amt
202301,30대,고기요리,30867663563
202301,30대,디저트/음료,30196723087
202301,30대,별식/퓨전요리,5682980705
202301,30대,분식,8203660477
202301,30대,양식,5432418078
202301,30대,일식/수산물,14838028261
202301,30대,중식,6472409954
202301,30대,패스트푸드,9083642943
202301,30대,한식,52185183087
202301,40대,간이주점,11173933870
202301,40대,고기요리,41809957029
202301,40대,디저트/음료,37150070658
202301,40대,별식/퓨전요리,7690494741
202301,40대,분식,12934119747
202301,40대,양식,7022745152
202301,40대,일식/수산물,21731910900
202301,40대,중식,9611917414
202301,40대,패스트푸드,11185725256
202301,40대,한식,70785332946
202301,50대,간이주점,7718018936
202301,50대,고기요리,37686683798
202301,50대,디저트/음료,28653802690
202301,50대,별식/퓨전요리,7169981687
202301,50대,분식,10270316562
202301,50대,양식,3991973016
202301,50대,일식/수산물,23633254267
202301,50대,중식,7490134307
202301,50대,패스트푸드,7224355573
202301,50대,한식,69506858199
202301,60대+,간이주점,2796582144
202301,60대+,고기요리,22133591275
202301,60대+,디저트/음료,16738590458
202301,60대+,별식/퓨전요리,4500902034
202301,60대+,분식,5708786351
202301,60대+,양식,1676695492
202301,60대+,일식/수산물,17761630789
202301,60대+,중식,3969666995
202301,60대+,패스트푸드,2819877206
202301,60대+,한식,47744484136
202302,20대,간이주점,11766738760
202302,20대,고기요리,19776370425
202302,20대,디저트/음료,18440298439
202302,20대,별식/퓨전요리,3102394378
202302,20대,분식,5056798154
202302,20대,양식,3342340083
202302,20대,일식/수산물,7548558087
202302,20대,중식,3507768742
202302,20대,패스트푸드,6425268043
202302,20대,한식,29752174816
202302,30대,간이주점,11016054881
202302,30대,고기요리,30823557820
202302,30대,디저트/음료,29799762134
202302,30대,별식/퓨전요리,5435318366
202302,30대,분식,8365595557
202302,30대,양식,5687108827
202302,30대,일식/수산물,13946727664
202302,30대,중식,6326327436
202302,30대,패스트푸드,8869704522
202302,30대,한식,51200548979
202302,40대,간이주점,11196224249
202302,40대,고기요리,43322280384
202302,40대,디저트/음료,36566874408
202302,40대,별식/퓨전요리,7651722354
202302,40대,분식,13341929613
202302,40대,양식,6959426122
202302,40대,일식/수산물,20703714001
202302,40대,중식,9288853117
202302,40대,패스트푸드,10943879793
202302,40대,한식,70556925869
202302,50대,간이주점,7742741156
202302,50대,고기요리,38490676132
202302,50대,디저트/음료,27636241888
202302,50대,별식/퓨전요리,7056535354
202302,50대,분식,10485734329
202302,50대,양식,4086224481
202302,50대,일식/수산물,22038624899
202302,50대,중식,7189287875
202302,50대,패스트푸드,6941782764
202302,50대,한식,69005652601
202302,60대+,간이주점,2836808321
202302,60대+,고기요리,22673121654
202302,60대+,디저트/음료,15764342865
202302,60대+,별식/퓨전요리,4645959715
202302,60대+,분식,5987658402
202302,60대+,양식,1777690229
202302,60대+,일식/수산물,16447313205
202302,60대+,중식,4103971409
202302,60대+,패스트푸드,2798081999
202302,60대+,한식,48418881472
202303,20대,간이주점,13079695935
202303,20대,고기요리,22325222382
202303,20대,디저트/음료,21437100318
202303,20대,별식/퓨전요리,3475548677
202303,20대,분식,5928507715
202303,20대,양식,3687672937
202303,20대,일식/수산물,8043018349
202303,20대,중식,3956810811
202303,20대,패스트푸드,7785436920
202303,20대,한식,33913782770
202303,30대,간이주점,12260712118
202303,30대,고기요리,34909476976
202303,30대,디저트/음료,34634831053
202303,30대,별식/퓨전요리,6148192830
202303,30대,분식,9712663873
202303,30대,양식,6077177875
202303,30대,일식/수산물,15217245220
202303,30대,중식,6846630746
202303,30대,패스트푸드,10135627106
202303,30대,한식,57786589152
202303,40대,간이주점,12662697471
202303,40대,고기요리,47537060308
202303,40대,디저트/음료,43417308847
202303,40대,별식/퓨전요리,8375873161
202303,40대,분식,15028533571
202303,40대,양식,7080367613
202303,40대,일식/수산물,22791940991
202303,40대,중식,9849883444
202303,40대,패스트푸드,11865445785
202303,40대,한식,80081580165
202303,50대,간이주점,8871770195
202303,50대,고기요리,42638798485
202303,50대,디저트/음료,33027618715
202303,50대,별식/퓨전요리,7795481698
202303,50대,분식,12341054740
202303,50대,양식,4283361155
202303,50대,일식/수산물,24513683442
202303,50대,중식,7722212645
202303,50대,패스트푸드,7817357391
202303,50대,한식,79038430682
202303,60대+,간이주점,3321624282
202303,60대+,고기요리,26162186210
202303,60대+,디저트/음료,19635214003
202303,60대+,별식/퓨전요리,5318877398
202303,60대+,분식,7480710061
202303,60대+,양식,1979345553
202303,60대+,일식/수산물,19282200708
202303,60대+,중식,4517935166
202303,60대+,패스트푸드,3189394808
202303,60대+,한식,57918324573
202304,20대,간이주점,12426158435
202304,20대,고기요리,21281044047
202304,20대,디저트/음료,21144462978
202304,20대,별식/퓨전요리,3389888291
202304,20대,분식,5850921773
202304,20대,양식,3471540444
202304,20대,일식/수산물,7687172729
202304,20대,중식,3830818085
202304,20대,패스트푸드,7625756765
202304,20대,한식,33167168894
202304,30대,간이주점,12667135214
202304,30대,고기요리,34655449859
202304,30대,디저트/음료,34681460383
202304,30대,별식/퓨전요리,6194397768
202304,30대,분식,10071668932
202304,30대,양식,5991382814
202304,30대,일식/수산물,14842939759
202304,30대,중식,6755100864
202304,30대,패스트푸드,10080338517
202304,30대,한식,58318336653
202304,40대,간이주점,12914760630
202304,40대,고기요리,47851221094
202304,40대,디저트/음료,44143498229
202304,40대,별식/퓨전요리,8458990435
202304,40대,분식,15649563081
202304,40대,양식,7002752675
202304,40대,일식/수산물,22241751678
202304,40대,중식,10064591377
202304,40대,패스트푸드,12166254115
202304,40대,한식,79934786750
202304,50대,간이주점,9033126708
202304,50대,고기요리,43354151992
202304,50대,디저트/음료,33794055862
202304,50대,별식/퓨전요리,7700095374
202304,50대,분식,12858010738
202304,50대,양식,4193093488
202304,50대,일식/수산물,24110703174
202304,50대,중식,7754227928
202304,50대,패스트푸드,8070919317
202304,50대,한식,78627349901
